Address,Creation Time,Self-destructed Time,Num. of Trans,Balance,Mark
0x91efffb9c6cd3a66474688d0a48aa6ecfe515aa5,Feb-22-2017 12:23:07 AM,Jul-06-2018 08:57:08 AM,53,0.01 Ether,suicide
0x998a60f88706ad37bc240318755b903aaa36ba95,Oct-13-2017 04:52:44 AM,Oct-14-2017 11:55:10 PM,5,0 Ether,suicide
0x6b922dd2243de553ce56857d70c9d7622c70aef6,Mar-23-2017 04:54:37 PM,Nov-20-2017 04:44:30 PM,12,0.02346 Ether,suicide
0x50377c3314581a639f00bd5ba42367a6b65bced7,Dec-25-2017 03:39:23 AM,Jul-19-2018 07:46:07 PM,16,0 Ether,suicide
0xa515f59ca4be22e9f082d7c56056037514f8481d,Nov-12-2017 06:47:30 PM,Nov-12-2017 07:01:19 PM,5,0 Ether,suicide
0x24b68cf0c67a54d6f67c469d2b9455f6953c3199,Sep-19-2018 10:03:23 PM,Sep-21-2018 12:33:31 AM,2,0 Ether,suicide
0x74e5f1a34a651c052d86dbd25042d6f710187f0a,Mar-02-2017 01:59:22 PM,Mar-02-2017 02:16:18 PM,7,0 Ether,suicide
0xea8b30b0bf4aefb965a8fdf0ccacafd17ad740ad,Jul-18-2018 09:54:09 AM,Sep-07-2018 01:08:11 PM,4435,0 Ether,suicide
0x5d39fcebe89ab0397947881539fd6dc7d99c6a87,Jan-22-2017 06:08:59 PM,Jan-22-2017 06:20:55 PM,2,0 Ether,suicide
0x8bb69cb26480d452d4d2254f59ccd0b9953ee9b4,Jun-03-2018 07:52:46 AM,Jun-06-2018 05:40:21 AM,3,0 Ether,suicide
0xb3aac808b10eb65b74b59deb4f1998b52327bd1a,Feb-23-2018 07:03:14 AM,Feb-28-2018 04:09:58 PM,51,0 Ether,suicide
0xc43d52c637d6b2505fcd125cd37a771768c252bf,Nov-16-2017 12:20:39 PM,Nov-25-2017 09:24:53 AM,2,0 Ether,suicide
0x58bf4d7869517fb67fdc4fac0897e7829d19f47e,May-10-2018 04:36:11 PM,Jun-08-2018 09:22:53 PM,397,0 Ether,suicide
0xba48243448d23b770c6d7da12b4babfdf9470d4d,Apr-23-2018 02:50:10 PM,May-03-2018 02:09:45 PM,4,0 Ether,suicide
0x8bf1e43e3ca6f5c25c380803154ae687d682ad32,Nov-16-2017 04:33:43 PM,Nov-17-2017 04:30:47 PM,15,0 Ether,suicide
0xd2be917afd50b81b585a5a96866658f9f90d811b,Apr-18-2018 11:07:36 AM,Apr-23-2018 09:37:25 AM,3,0 Ether,suicide
0x03209bde47da583547c17c47e7ca74bfa3dfb404,Aug-28-2017 06:11:29 AM,Aug-28-2017 07:36:59 AM,3,0 Ether,suicide
0x62b46ad2e8a203fe8c04b6f97f5006e1a53e9b15,Jul-03-2017 03:32:46 AM,Jul-03-2017 04:14:50 AM,2,0 Ether,suicide
0xadccea0b14d26d786b99cf3ba3e9812cd4d23a81,Feb-25-2018 08:42:45 PM,Feb-25-2018 08:46:33 PM,2,0 Ether,suicide
